HiggsM,DNN_score,DPhi_jj,OO1
121899.73,-1.9913524,1.9412429,0.7974667
133612.48,-3.804817,2.5148299,-0.014645095
128893.91,-1.8969464,2.2848568,-0.12593566
132268.5,-2.4025779,3.045683,0.4216783
124524.75,-2.1000755,1.6987183,0.6188918
123601.34,-0.14231107,2.4363673,-0.22632948
125320.83,0.49671632,0.2193057,0.14962883
128681.195,0.2268443,3.0533853,-0.38229817
133785.28,-2.573721,2.8258877,0.103818245
121827.65,-3.5278726,2.131248,0.030340055
123740.836,-2.5280435,2.9698842,0.15782535
121462.67,0.008217454,0.2013104,0.016094632
127780.24,-2.6129544,3.0817013,0.085648134
132565.77,-2.613662,1.4532954,-0.17670487
117320.36,-2.8531933,1.0370655,0.40673727
128171.56,-1.23513,2.5003629,-0.73218745
130468.04,-2.3248096,0.87501574,0.072848685
134833.31,-3.732451,2.5066361,0.0838253
122707.55,-2.072214,1.5037549,0.16550794
120293.96,1.0198205,3.0556428,-0.010254214
125024.41,-3.2645164,1.4838536,-0.7868243
125237.74,0.0749359,2.995566,0.13754597
131461.28,1.0073063,1.4647696,0.69561553
125820.836,-0.85631675,0.24933839,0.036811564
121947.56,-2.319531,3.0632563,0.019282347
115784.01,-3.8126004,1.4108233,-0.3613843
126031.43,-3.0950577,3.0340343,-0.20830286
131968.14,-2.5969796,0.3040228,-0.09620378
131383.98,-2.6847768,2.2778246,0.82120246
127709.56,-0.9197739,1.7668945,-1.0430945
131779.88,-0.882348,1.2090175,1.0196624
134639.48,-3.2533083,2.7023847,0.4595477
132116.06,-2.081533,1.9255203,-0.8419407
118978.55,-0.40575194,1.8338283,-0.53003365
119190.22,-3.0090587,2.731916,-0.055615053
119259.89,-1.1214194,1.8598027,-0.070672244
134174.66,-0.56557035,0.7679963,0.26840314
132710.83,-1.9809909,3.0868464,0.19523539
127812.15,-0.7449877,0.9979764,-0.64379084
126307.41,-4.5351562,1.3661652,0.18778175
117011.97,-2.488374,1.2464666,-0.13454972
126461.625,-2.065901,2.559971,0.50209737
133231.94,-1.0388573,0.5775825,-0.07921713
122533.52,0.1528425,1.9021897,-0.23306516
122671.38,-2.0004833,3.0645585,0.15122004
119364.086,-1.9632448,3.0373278,-0.13625051
115795.51,-0.49609134,2.583706,0.2684909
118329.92,-1.776461,1.6409416,0.6522328
127900.41,-0.90589136,0.977907,-0.23184347
116567.15,-3.5958729,1.6376503,0.9752401
115011.87,-3.4545887,1.6455069,0.6749102
123922.99,-0.513154,2.522459,0.7290909
133635.48,-1.822783,2.9312549,0.15882294
117299.14,-1.5319105,2.5874536,0.14332208
