HiggsM,DNN_score,DPhi_jj,OO1
117746.07,1.9634156,2.953107,0.04370354
127764.33,-3.0785265,0.9604176,0.27604094
125475.71,-3.4690633,1.9661019,-0.19604653
134136.38,-2.8898199,1.8241981,0.56346864
130814.266,-1.6793666,0.5087786,-0.011383319
125730.58,-1.9336246,2.2890685,-0.7061545
132587.0,-2.6429677,1.2173889,-0.89144355
115155.25,0.91862327,1.9237809,-0.6831055
126639.35,-3.2982569,1.435263,0.06855939
123682.055,-3.2884686,1.7521662,-0.48707992
121587.375,-3.830455,3.0114157,0.07450555
115168.51,-2.3568254,2.6691523,0.0977201
115040.086,-2.1207283,3.019452,0.06468158
134213.88,-0.7281054,3.1135986,0.05042164
131257.3,-2.5421343,1.8122593,2.0615635
125359.18,1.3312958,2.0096767,0.5167122
121889.164,-1.8824475,1.0422173,0.14616498
122222.33,-4.218558,2.6319864,-0.104153484
134430.88,-0.36870793,1.7527962,-0.54752696
130719.67,-3.474268,2.7113948,0.0946522
125792.95,-3.1513104,3.0355525,0.03263809
125196.16,0.0038891407,2.2542365,-0.28793666
122861.44,-2.5707211,2.7403595,0.11184307
123952.4,-1.3939606,3.086214,-0.15213093
116894.375,-2.5156636,0.11540222,-0.06905321
116237.45,-2.8891559,1.0300498,-0.077741876
124318.07,-4.242735,2.8799064,0.11091955
123571.32,-2.417742,3.0699415,0.0008744538
125489.68,-3.3285804,2.6649053,0.043053307
119903.01,-1.4167228,2.3733916,-0.49194828
118827.85,-2.7847617,3.140813,-0.048237544
116293.44,-2.604962,1.4613299,-0.24467847
128176.266,-3.4978325,2.266786,-0.11514174
133413.17,-1.6609112,1.2846649,-0.17751005
128125.56,-3.8914647,1.1518723,0.0036061667
127444.91,-0.31623605,2.980737,-0.014678933
122085.16,1.0597498,2.8950353,-0.011356638
126528.45,-0.7553075,1.978063,0.17851223
126453.64,-1.3437825,2.9113154,-0.1819762
121766.18,-3.6207514,0.94488037,-0.15372773
118509.8,-1.9315072,0.5917785,0.08681618
117199.06,-0.68170375,2.2606473,0.13065799
115070.04,0.3138561,0.44400728,-0.08021734
121685.445,-2.320361,1.4305893,0.08957743
134194.86,-2.8613532,0.06243944,-0.004399283
124022.99,-2.5344326,2.5837212,-0.1787126
134606.42,-1.4476054,2.0772276,0.28434595
115744.336,-2.607642,2.0401375,-0.2022861
117038.01,-2.3364964,1.2353235,-0.16354129
117410.38,-3.0030606,0.52670264,-0.099730626
116647.33,-2.305964,2.269927,-0.016363744
121668.74,-1.3563789,1.5904917,-0.0077433037
120161.33,0.06320843,1.1698924,0.07057667
129007.39,-1.5187677,1.0643059,0.55891913
119652.95,-1.2324946,1.460549,-0.08427729
123438.69,-1.7469923,2.496843,-0.1211303
120065.195,0.7066289,0.8097295,1.2949283
117794.72,-2.9642901,0.9920274,0.04824292
117036.93,1.9692475,2.9046805,-0.055555865
129843.914,-0.9388764,1.4029189,0.283096
121268.75,-1.5809791,2.1380022,1.624389
134921.53,-2.905666,2.7913108,0.019353608
115294.52,-0.7378574,0.53134495,-0.20293324
128509.0,-2.0770204,2.644609,0.11106872
131119.34,-1.1440605,1.678925,0.07102078
127509.64,-2.7924936,2.9270632,0.0767334
118601.375,-0.6648527,2.64723,-0.23261638
117294.86,-0.3772736,2.9060934,-0.043267902
134824.0,-1.8561434,2.8741913,0.033576842
134003.3,-2.3320036,2.9464755,0.072011724
120503.664,-1.6038632,2.9719977,-0.5699989
131141.31,1.3693566,2.2303827,-0.10620664
120823.914,-1.0482253,2.685452,-0.4823405
120234.484,-0.5695458,2.8665602,-0.010029594
115257.4,-0.9614382,2.69128,0.019219726
123215.81,-0.99889624,2.2636735,0.4310673
118627.43,-0.4887443,1.0488238,0.20840903
