HiggsM,DNN_score,DPhi_jj,Eta_jj,M_jj,Njets,OO1
125889.875,-2.0736885,1.6406195,2.4203176,161459.92,5,-0.29212308
116820.31,1.2328248,0.9737411,3.5709844,485541.84,3,0.6675426
128955.52,-3.9525335,3.1221714,3.7053642,594839.8,3,0.15094209
124535.39,-3.4294634,3.1261952,2.4320335,753603.5,5,0.5130822
117592.23,-1.567603,1.4514393,2.2828069,109625.2,2,0.55574685
132651.1,-0.09402086,2.3826962,3.280246,570796.2,2,-0.46161097
119372.86,-3.2445054,1.4570119,3.344306,520601.25,5,0.27136368
116231.164,-1.4648438,1.4562149,2.5874262,183371.67,5,0.84098345
115106.766,-2.2925022,3.0819674,4.3883247,423959.5,4,-0.0005162858
124920.41,2.6396627,2.1243417,7.6190376,2.1924908e+06,3,-0.05853434
119755.14,-1.6886876,3.076839,2.2460184,157321.98,2,-0.03018189
119129.76,2.1602442,2.265964,8.086206,1.8376176e+06,2,0.05595583
119558.27,2.1881683,1.7861851,4.7062464,447331.66,5,0.11265925
125362.03,-3.504929,2.839143,2.59429,1.8382569e+06,6,0.64631766
128528.9,-2.344775,1.6520255,2.6302736,130562.45,5,-0.20687117
115614.53,-0.3323843,2.5539703,2.1762633,348366.56,2,0.4183378
128986.15,-3.140904,3.0322976,4.695956,461259.34,5,0.112926975
116131.57,-1.183231,2.7964416,4.740348,423998.3,4,0.049065746
121843.15,-0.68656564,3.0302768,2.1026902,167981.45,3,-0.09443164
115874.055,-2.931444,2.3870714,2.182183,194250.31,4,0.031632874
115881.98,-4.1669974,1.7841793,2.821941,138398.3,3,0.096158385
134729.73,-1.6170212,2.6182516,2.102342,160316.66,3,-0.099288225
133874.05,-2.2733567,2.909993,3.2071126,974810.3,4,-0.416648
116911.67,-1.8222468,0.9820048,3.4347696,358203.78,6,-0.3697259
118153.14,-2.0571976,2.8212788,3.611536,324572.8,3,-0.11322005
118783.83,-0.19523776,1.1385484,5.179204,555647.9,4,-0.0745982
117360.375,-2.500445,2.265218,2.624523,264407.03,4,-0.52208054
116843.51,-0.9639549,2.9541316,2.368001,1.3533946e+06,3,-0.9791098
115555.22,2.5959742,2.1546218,7.3132877,1.8383998e+06,3,-0.12683973
132818.22,1.1324497,2.275446,5.9695206,1.1882312e+06,3,-0.16726004
129840.91,-2.3779025,2.7891643,2.7985654,207785.86,2,-0.035897236
134776.97,-0.874958,2.2463248,4.4830303,370156.78,2,0.09753932
133781.78,-2.7741153,2.4758606,2.498358,141662.97,3,0.012248478
116787.06,-3.1432798,0.5182887,2.5196989,120512.266,3,0.018733788
130019.47,-1.2992605,0.6783035,2.0418909,115656.91,3,0.36261553
120827.84,-2.4374628,1.3633292,4.978306,459666.16,2,0.008844011
118676.555,-1.0892292,2.5045927,2.4389558,185871.4,2,0.16237123
125860.69,-1.7935991,2.267717,2.4071112,194849.9,4,0.10883888
124461.875,2.0734696,2.335472,5.3614874,562006.1,2,-0.08306429
125939.11,0.3483,0.32829165,5.2899966,857164.9,4,-0.078065194
131309.89,-2.258013,0.4445243,2.5017238,184893.47,2,0.36781538
127514.234,-3.918911,2.685245,2.2621233,230526.42,3,-0.19905165
127709.336,-1.5396725,2.340689,2.0216556,137019.5,2,0.1272049
118565.055,0.019743703,2.8408837,4.3057137,409892.94,3,-0.020502906
126266.61,-2.5815039,2.3795395,4.6449084,904069.56,4,0.18979196
122665.7,-1.05746,3.0271397,3.3105814,484355.53,2,0.044612072
121029.99,-2.5983777,2.8623354,2.8474512,214296.84,3,0.043150667
133840.84,-1.7939575,2.3607628,2.9008377,161273.66,3,-0.15415637
133528.45,-0.3007179,2.8837957,6.515156,1.007477e+06,3,-0.019977465
131549.45,-2.5099847,1.3664625,4.3997283,318307.12,2,0.0801349
133737.94,1.1957268,0.42182308,4.917074,650764.75,2,0.12956166
122154.58,-2.359699,2.9538088,2.9990063,833125.6,4,-0.20958376
128328.94,-2.3649826,0.76898265,6.5602684,1.1908061e+06,3,0.08236558
121356.28,-2.3529356,1.5675912,2.6683168,163339.52,4,0.41843182
122774.78,1.178946,1.6102207,3.3061013,511798.72,2,-0.85982704
118675.28,0.35099736,1.5543807,2.5287416,339516.56,3,0.57975894
115360.164,-0.43270895,0.19274777,3.919736,361319.1,3,0.027376413
128670.305,-3.5741034,2.2690306,2.0146956,147969.31,3,-0.31192282
122447.164,-2.69768,2.1404848,3.7237303,249869.94,2,0.02768765
120170.45,0.24422513,0.33634186,3.3463788,279720.72,4,0.15352617
124109.02,-1.3846349,2.9028203,2.7507043,852208.56,4,0.3030024
126651.0,-3.2572293,0.40622413,3.2046385,176431.31,3,-0.05587211
118246.84,-1.2703152,2.9463544,4.886226,1.0051148e+06,4,0.120971985
116630.73,-3.0211778,2.9528487,2.518755,332202.9,2,0.09049278
126203.97,-0.28728393,2.221188,4.938342,627065.25,5,0.07627337
124557.01,-2.5194514,3.0491395,2.2349799,167515.1,2,-0.32014427
116859.3,0.44342312,2.2460823,2.040928,980638.75,7,5.758555
131984.98,-1.3891275,0.024686098,2.6800508,210978.2,5,0.071380936
122004.414,-0.47749123,2.823742,4.168439,436089.78,3,-0.026617143
118726.63,-2.8871796,3.0635488,2.1556306,225320.95,3,-0.0006879598
117765.42,-2.1762013,1.476392,5.0607615,435104.8,3,0.19080791
120234.055,-1.3673534,0.08347821,3.690104,358186.6,2,-0.07913159
121651.59,0.63440436,3.0806243,4.204513,785282.9,2,-0.0652473
126207.54,0.7796556,0.36869985,3.052424,236951.97,8,0.095266856
125224.586,-3.132722,1.0423882,3.687319,220030.8,4,0.07338162
126664.41,-3.0938244,2.7856696,2.8636107,161003.62,2,0.15723696
119393.24,-2.3876948,2.1388195,2.177146,135864.89,2,-0.10452718
121215.555,-1.4357458,2.7531605,3.4259462,236608.98,2,-0.06514246
117056.25,-3.1566439,2.9048765,2.3493161,252838.73,5,0.4477255
123118.234,-3.3526154,1.9745736,2.2345057,224479.78,5,-1.1696979
120601.66,-1.3657572,2.4880736,3.3459716,297529.47,3,0.28993526
122148.05,1.374071,2.228849,2.8833785,463004.66,6,0.7216735
128260.42,-1.9181174,2.9783654,3.1479623,633894.8,6,-0.5889396
117290.016,-0.586356,2.0861058,3.7649705,247588.61,3,0.11003188
115677.195,-2.0501034,0.13782132,6.5987434,950019.56,2,0.015173904
115405.69,-1.9612377,2.7302952,2.2459157,309596.22,7,0.14039832
119651.22,0.40308794,0.37435406,6.779187,1.0299802e+06,4,0.029293025
125547.1,-0.08220185,1.9642497,2.7166378,518000.8,2,0.6651391
119366.03,-3.3458383,2.612459,5.403267,546239.5,3,-0.31081226
119572.53,2.8243985,0.9679771,5.6295347,1.0598176e+06,8,0.15782133
126317.43,-3.2348742,2.8611295,2.3865135,240422.08,4,-0.13670692
116161.8,-1.4008424,3.0838249,3.4570074,213493.08,2,0.05630708
116722.16,-3.0882316,3.0414896,3.2858613,193312.33,2,0.17036347
123496.21,-1.6608158,3.1290872,2.3883893,297045.84,3,-0.03558303
127565.87,-0.5015107,0.41151452,3.1085534,184614.83,3,-0.05639978
118685.57,-0.67602557,3.1038144,3.6648662,853965.2,3,0.24117778
132028.44,-0.6627292,2.4141648,3.7386153,265644.06,2,-0.05394543
134126.56,-2.6335464,1.0394392,2.665307,269705.38,4,0.36280572
131707.08,-0.44745028,2.9412775,3.1250577,497742.78,4,-0.20570464
119770.04,-1.8196354,2.3766384,3.3709772,199942.48,4,-0.1542183
