,HiggsM,Frequency,DNN_score,DPhi_jj,Eta_jj,M_jj,Njets,OO1,Zepp,finalWeight,is_Passed_yy,lumiXsecWeight
97,109875.0,19651,-1.5054868,2.02821,3.5824156,460218.25,3.352195817006768,0.0015416755,-0.014437344,0.0057503716,1.0,1.2205329e-09
98,109925.0,20094,-1.4853867,2.0216699,3.5851953,459756.88,3.333880760425998,0.0041037733,-0.017304443,0.005730645,1.0,1.2213942e-09
99,109975.0,19869,-1.4981173,2.015522,3.5957978,454665.53,3.325985203080175,-0.002618566,-0.00765042,0.0058449786,1.0,1.2201309e-09
100,110025.0,19587,-1.4686004,2.0287354,3.5880942,455948.94,3.3426252105988667,-0.00087145745,-0.002235815,0.00574321,1.0,1.2223081e-09
101,110075.0,19656,-1.4995254,2.03589,3.589721,460166.94,3.353886853886854,-0.0003250739,0.013233812,0.005821344,1.0,1.2211153e-09
102,110125.0,19465,-1.5100129,2.0194025,3.5827622,457283.62,3.349858720780889,0.0011434766,-0.005466129,0.005803159,1.0,1.2214685e-09
103,110175.0,19471,-1.4750247,2.0369143,3.587549,459675.66,3.3411740537209185,-0.0008242664,-0.021152763,0.005798806,1.0,1.2211051e-09
104,110225.0,19699,-1.518179,2.0285132,3.5864613,459927.94,3.3619980709680695,0.0018804608,-0.012372874,0.0058335722,1.0,1.221687e-09
105,110275.0,19552,-1.4885687,2.0278416,3.584326,457437.22,3.3389934533551555,7.963312e-05,0.02147955,0.005865198,1.0,1.2208684e-09
106,110325.0,19463,-1.5023724,2.0267527,3.581473,454399.5,3.3490725992909622,-0.0024315086,0.006728316,0.0057657324,1.0,1.2214443e-09
107,110375.0,19762,-1.4959031,2.0298514,3.5809042,455096.38,3.3424248557838276,-3.4900135e-05,-0.0016043278,0.0058457786,1.0,1.2212072e-09
108,110425.0,19295,-1.5023319,2.0293994,3.5744638,457420.72,3.3426794506348796,0.004489468,-0.0020027712,0.005870874,1.0,1.2214925e-09
109,110475.0,19402,-1.4798704,2.0220323,3.5920653,458614.56,3.3568704257293063,0.003316807,0.0059170024,0.00572039,1.0,1.2212021e-09
110,110525.0,19558,-1.480663,2.019856,3.6019924,460886.8,3.362153594437059,0.0057721636,0.020060282,0.0057364805,1.0,1.2208654e-09
111,110575.0,19331,-1.4836725,2.0289624,3.581728,457939.34,3.3293673374372768,-0.0021129157,-0.009358145,0.005790205,1.0,1.2213834e-09
112,110625.0,19228,-1.5010297,2.0272417,3.5754344,451315.66,3.3313397129186604,-0.0010939628,-0.018444974,0.0057599307,1.0,1.2219359e-09
113,110675.0,19456,-1.4918938,2.0309381,3.5776744,458518.9,3.3524362664473686,0.002266694,-0.0031718186,0.005751582,1.0,1.2212406e-09
